sample_region,lme,gis_station
1,EBS,A-02
1,EBS,A-03
1,EBS,A-04
1,EBS,A-05
1,EBS,B-01
1,EBS,B-02
1,EBS,B-03
1,EBS,B-04
1,EBS,B-05
1,EBS,C-18
1,EBS,C-01
1,EBS,C-02
1,EBS,C-03
1,EBS,C-04
1,EBS,C-05
1,EBS,D-18
1,EBS,D-01
1,EBS,D-02
1,EBS,D-03
1,EBS,D-04
1,EBS,D-05
1,EBS,E-18
1,EBS,E-19
1,EBS,E-20
1,EBS,E-21
1,EBS,E-22
1,EBS,E-01
1,EBS,E-02
1,EBS,E-03
1,EBS,F-18
1,EBS,F-01
1,EBS,F-02
2,EBS,F-19
2,EBS,F-20
2,EBS,F-21
2,EBS,G-18
2,EBS,G-19
2,EBS,G-20
2,EBS,G-21
2,EBS,G-22
2,EBS,H-18
2,EBS,H-19
2,EBS,H-20
2,EBS,H-21
2,EBS,H-22
2,EBS,H-23
2,EBS,I-18
2,EBS,I-19
2,EBS,I-20
2,EBS,I-21
2,EBS,I-22
2,EBS,I-23
2,EBS,J-18
2,EBS,J-19
2,EBS,J-20
2,EBS,J-21
2,EBS,J-22
2,EBS,J-23
2,EBS,JI2221
2,EBS,JI2120
2,EBS,JI2019
2,EBS,JI1918
2,EBS,IH2221
2,EBS,IH2120
2,EBS,IH2019
2,EBS,IH1918
2,EBS,HG2221
2,EBS,HG2120
2,EBS,HG2019
2,EBS,HG1918
2,EBS,GF2221
2,EBS,GF2120
2,EBS,GF2019
2,EBS,GF1918
3,EBS,K-01
3,EBS,K-02
3,EBS,K-18
3,EBS,K-19
3,EBS,K-20
3,EBS,K-21
3,EBS,K-22
3,EBS,K-23
3,EBS,L-18
3,EBS,L-19
3,EBS,L-20
3,EBS,L-21
3,EBS,L-22
3,EBS,L-23
3,EBS,M-19
3,EBS,M-20
3,EBS,M-21
3,EBS,M-22
3,EBS,M-23
3,EBS,M-24
3,EBS,N-19
3,EBS,N-20
3,EBS,N-21
3,EBS,N-22
3,EBS,N-23
3,EBS,N-24
3,EBS,O-20
3,EBS,O-21
3,EBS,O-22
3,EBS,O-23
3,EBS,O-24
3,EBS,O-25
3,EBS,ON2625
3,EBS,ON2524
4,EBS,QP2726
4,EBS,QP2625
4,EBS,QP2524
4,EBS,QP2423
4,EBS,PO2726
4,EBS,PO2625
4,EBS,PO2524
4,EBS,PO2423
4,EBS,P-20
4,EBS,P-21
4,EBS,P-22
4,EBS,P-23
4,EBS,P-24
4,EBS,P-25
4,EBS,P-26
4,EBS,Q-20
4,EBS,Q-21
4,EBS,Q-22
4,EBS,Q-23
4,EBS,Q-24
4,EBS,Q-25
4,EBS,Q-26
4,EBS,R-22
4,EBS,R-23
4,EBS,R-24
4,EBS,R-25
4,EBS,R-26
4,EBS,R-27
4,EBS,S-22
4,EBS,S-23
4,EBS,S-24
4,EBS,S-25
4,EBS,S-26
4,EBS,S-27
4,EBS,T-25
4,EBS,T-26
4,EBS,T-27
4,EBS,T-28
4,EBS,U-25
4,EBS,U-26
4,EBS,U-27
4,EBS,U-28
4,EBS,V-25
4,EBS,V-26
4,EBS,V-27
4,EBS,V-28
5,EBS,M-25
5,EBS,M-26
5,EBS,M-27
5,EBS,M-28
5,EBS,M-29
5,EBS,M-30
5,EBS,M-31
5,EBS,M-32
5,EBS,N-25
5,EBS,N-26
5,EBS,N-27
5,EBS,N-28
5,EBS,N-29
5,EBS,N-30
5,EBS,N-31
5,EBS,O-26
5,EBS,O-27
5,EBS,O-28
5,EBS,O-29
5,EBS,O-30
5,EBS,O-31
5,EBS,P-27
5,EBS,P-28
5,EBS,P-29
5,EBS,P-30
5,EBS,P-31
5,EBS,P-32
5,EBS,Q-27
5,EBS,Q-28
5,EBS,Q-29
5,EBS,Q-30
5,EBS,Q-31
5,EBS,R-28
5,EBS,R-29
5,EBS,R-30
5,EBS,R-31
5,EBS,R-32
5,EBS,S-28
5,EBS,S-29
5,EBS,S-30
5,EBS,S-31
5,EBS,T-29
5,EBS,T-30
5,EBS,U-29
6,EBS,F-22
6,EBS,F-23
6,EBS,F-24
6,EBS,F-25
6,EBS,F-26
6,EBS,G-23
6,EBS,G-24
6,EBS,G-25
6,EBS,G-26
6,EBS,H-24
6,EBS,H-25
6,EBS,H-26
6,EBS,I-24
6,EBS,I-25
6,EBS,I-26
6,EBS,J-24
6,EBS,J-25
6,EBS,J-26
6,EBS,K-24
6,EBS,K-25
6,EBS,K-26
6,EBS,K-27
6,EBS,L-24
6,EBS,L-25
6,EBS,L-26
6,EBS,L-27
6,EBS,L-28
6,EBS,L-29
6,EBS,L-30
6,EBS,L-31
7,NBS,R-20
7,NBS,R-21
7,NBS,S-20
7,NBS,S-21
7,NBS,T-20
7,NBS,T-21
7,NBS,T-22
7,NBS,T-23
7,NBS,T-24
7,NBS,U-18
7,NBS,U-19
7,NBS,U-20
7,NBS,U-21
7,NBS,U-22
7,NBS,U-23
7,NBS,U-24
7,NBS,V-18
7,NBS,V-19
7,NBS,V-20
7,NBS,V-21
7,NBS,V-22
7,NBS,V-23
7,NBS,V-24
7,NBS,W-18
7,NBS,W-19
7,NBS,W-20
7,NBS,W-21
7,NBS,W-22
7,NBS,W-23
7,NBS,W-24
7,NBS,W-25
7,NBS,W-26
7,NBS,W-27
7,NBS,X-18
7,NBS,X-19
7,NBS,X-20
7,NBS,X-21
7,NBS,X-22
7,NBS,X-23
7,NBS,X-24
7,NBS,X-25
7,NBS,X-26
8,NBS,Y-01
8,NBS,Y-18
8,NBS,Y-19
8,NBS,Y-20
8,NBS,Y-21
8,NBS,Y-22
8,NBS,Y-23
8,NBS,Y-24
8,NBS,Y-25
8,NBS,ZZ-01
8,NBS,ZZ-18
8,NBS,ZZ-19
8,NBS,ZZ-20
8,NBS,ZZ-21
8,NBS,ZZ-22
8,NBS,ZZ-23
8,NBS,ZZ-24
8,NBS,AA-01
8,NBS,AA-18
8,NBS,AA-19
8,NBS,AA-20
8,NBS,AA-21
8,NBS,AA-22
8,NBS,AA-23
9,NBS,ZZ-02
9,NBS,ZZ-03
9,NBS,AA-02
9,NBS,AA-03
9,NBS,BB-01
9,NBS,BB-02
9,NBS,BB-03
9,NBS,BB-18
9,NBS,BB-19
9,NBS,BB-20
9,NBS,BB-21
9,NBS,BB-22
9,NBS,CC-01
9,NBS,CC-02
9,NBS,CC-03
9,NBS,CC-18
9,NBS,CC-19
9,NBS,CC-20
9,NBS,CC-21
9,NBS,DD-01
9,NBS,DD-02
9,NBS,DD-03
9,NBS,DD-18
9,NBS,DD-19
9,NBS,DD-20
9,NBS,EE-01
9,NBS,EE-02
9,NBS,EE-18
9,NBS,EE-19
9,NBS,FF-01
9,NBS,FF-02
9,NBS,FF-18
